Time,h1,h2,h3,h4,v1,v2
0.000000000000000000e+00,1.677689999999999911e-03,7.040580000000000276e-03,1.839960000000000076e-03,8.484399999999999581e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.000125015626953440e+00,1.677690445892667101e-03,7.040579559778451825e-03,1.839959928804833127e-03,8.484400205614472945e-03,1.500000000000000000e+00,5.000000000000000000e-01
2.000250031253906879e+00,1.677690785110494973e-03,7.040579200242501334e-03,1.839959869844489358e-03,8.484400387796832421e-03,1.500000000000000000e+00,5.000000000000000000e-01
3.000375046880860097e+00,1.677691092444963828e-03,7.040578895560176825e-03,1.839959818923427720e-03,8.484400551242214650e-03,1.500000000000000000e+00,5.000000000000000000e-01
4.000500062507813759e+00,1.677691407528378266e-03,7.040578625905428642e-03,1.839959772930135429e-03,8.484400699869696499e-03,1.500000000000000000e+00,5.000000000000000000e-01
5.000625078134767421e+00,1.677691742281708573e-03,7.040578375907604984e-03,1.839959729539208944e-03,8.484400836977679453e-03,1.500000000000000000e+00,5.000000000000000000e-01
6.000750093761720194e+00,1.677692082420086540e-03,7.040578133676310933e-03,1.839959687049060608e-03,8.484400965358398702e-03,1.500000000000000000e+00,5.000000000000000000e-01
7.000875109388673856e+00,1.677692392203640167e-03,7.040577890224186154e-03,1.839959644304087249e-03,8.484401087381248860e-03,1.500000000000000000e+00,5.000000000000000000e-01
8.001000125015627518e+00,1.677692628426460117e-03,7.040577639162668225e-03,1.839959600665035892e-03,8.484401205052024761e-03,1.500000000000000000e+00,5.000000000000000000e-01
9.001125140642580291e+00,1.677692762401582997e-03,7.040577376575495733e-03,1.839959555998059394e-03,8.484401320053623283e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.000125015626953484e+01,1.677692798072945995e-03,7.040577100990407129e-03,1.839959510656278500e-03,8.484401433772603696e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.100137517189648761e+01,1.677692774807731371e-03,7.040576969441475659e-03,1.839959487847584981e-03,8.484401546580137843e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.200150018752344039e+01,1.677692753498657508e-03,7.040576852813817607e-03,1.839959467095263028e-03,8.484401652350407122e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.300162520315039494e+01,1.677692733919230886e-03,7.040576749160747105e-03,1.839959448148506755e-03,8.484401751654588320e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.400175021877734771e+01,1.677692715868713208e-03,7.040576656807332259e-03,1.839959430793056995e-03,8.484401845010576190e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.500187523440430226e+01,1.677692699170056428e-03,7.040576574311587649e-03,1.839959414845550008e-03,8.484401932888437428e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.600200025003125504e+01,1.677692683668002361e-03,7.040576500431638615e-03,1.839959400148833942e-03,8.484402015715259218e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.700212526565820781e+01,1.677692669227383521e-03,7.040576434097872878e-03,1.839959386568065921e-03,8.484402093879451351e-03,1.500000000000000000e+00,5.000000000000000000e-01
1.800225028128516058e+01,1.677692655731593966e-03,7.040576374389264161e-03,1.839959373987452721e-03,8.484402167734564348e-03,1.500000000000000000e+00,5.000000000000000000e-01
